D0,D1,D2,D3=B0,B1,B2,B3
61212,23602,97880,60511,71665,83069,35164
44133,97464,68596,60582,10438,97285,92610
55185,17881,84503,60582,91675,32988,54155
58754,76562,89644,60636,17207,78028,67378
57917,68052,5631,60636,87463,45076,78290
3012,58315,16581,60655,1575,25225,78605
10709,85512,23465,60724,77690,69759,1762
29379,50931,53511,60788,46044,82095,5020
34002,92068,23362,60788,41178,12620,5478
45000,13582,13445,60901,75626,59681,41027
92469,93441,8500,60914,18071,89005,93872
25986,94749,86349,60924,87446,87116,88148
18908,15989,54184,60924,26681,3413,90346
19088,43746,63123,60936,21597,69481,96777
68273,5704,79617,61010,25887,1619,18556
95046,7160,83007,61058,7653,78252,61216
84924,72467,44791,61240,64500,66139,53246
40165,24698,96091,61285,32160,90700,25967
70092,86344,25931,61375,29914,52830,37345
74404,79989,20273,61401,81766,68951,15025
54853,50435,71467,61401,54933,39407,93460
95426,65747,41880,61464,90338,60327,2128
69990,11347,16973,61750,50670,11971,11329
59749,36665,86181,61771,53040,64671,92775
44352,90227,70567,61782,71548,89907,16453
43483,13873,89923,61873,49705,55002,87557
91702,14193,11052,61991,41340,51843,76035
40793,65944,80965,61993,66906,59421,73211
94994,68399,29724,62103,97438,90044,3650
12314,63615,7472,62216,10337,13730,19996
48772,77943,21889,62526,17950,70190,88560
5169,46824,86263,62806,87354,81224,23025
33142,46056,23727,62808,24008,14720,12207
86311,60409,92028,62834,42772,45761,22554
39955,35744,9769,62929,37005,30551,86460
90543,58280,64180,63006,30359,90591,333
56822,64259,62630,63121,95530,70259,95805
23098,52537,80422,63227,96339,76303,43100
58367,5111,67484,63417,61381,29662,68978
73296,86229,74069,63430,65099,86775,47783
29909,97366,51977,63434,31630,4287,95229
83739,38344,94505,63456,45294,85446,54481
33349,53064,76954,63583,5497,72492,61793
74941,22905,67084,63598,91845,78177,54032
14130,16009,21312,63814,74022,47536,24440
24748,88876,36506,63982,7548,15440,2437
77956,16725,92728,64030,55779,33572,38593
39663,44090,1098,64128,84847,95599,62903
83721,60861,40928,64205,26278,50007,15678
27440,60570,80731,64327,93018,73500,2003
49812,3166,82484,64382,26565,51169,8138
19014,62398,12157,64398,43011,99447,49887
53245,23489,35520,64697,68623,78572,95242
17773,58953,53177,64812,82382,1007,74944
49464,85992,11759,64829,19290,75054,53209
41236,12393,15883,64986,1724,42909,73080
40354,55062,83072,65296,39877,16192,22278
85235,14912,56577,65296,52222,2800,7109
27406,44171,34321,65355,42767,90937,10420
3961,52123,54101,65638,53559,5352,92664
13637,16544,62496,65733,73399,62441,91372
69758,37002,24424,65800,45031,20738,967
99219,55391,90438,65929,92245,29285,87459
66866,1481,27870,65929,72971,27436,51095
60216,38185,47585,65939,59352,86378,98348
27008,36511,73550,65946,91165,4028,69736
86268,93777,94140,66047,29427,38247,81164
12110,66524,79256,66089,24900,18173,73862
93931,33231,43909,66131,34855,8285,67880
5105,22066,83194,66131,45693,67923,10500
14545,9313,14272,66145,45693,67923,10500
23498,75740,45146,66164,97509,15103,74754
78787,52859,52178,66304,30494,40947,50173
41092,43651,82732,66315,26607,62453,8382
72647,21712,68179,66330,8878,21895,49339
20835,27401,15745,66373,41032,97931,62673
16552,50800,20482,66410,62060,97137,5319
8824,75976,91153,66575,82449,6494,56466
85564,78020,21750,66605,57087,58162,84497
17987,63127,14815,66992,76042,9835,83527
10725,74329,75019,67198,96160,49215,35347
48643,29065,9944,67313,91415,76179,72904
57899,84848,59969,67551,5480,94340,69400
13607,39675,29284,67614,39633,26893,65528
24047,83165,23437,68021,49785,32080,52545
93895,52819,70727,68070,39624,85927,70685
56797,7512,69138,68107,35728,16631,39619
23151,55185,57815,68166,17558,86375,56517
76728,21154,55076,68232,81845,6728,59820
76728,21154,55076,68232,90324,79567,64528
85521,21464,9695,68426,59278,50765,88621
56284,47429,97396,68554,10578,65758,37180
44136,15309,85762,68625,34996,3643,61599
26439,57079,42453,68681,59397,23667,42029
55042,31423,70931,68824,11454,12281,72751
49619,57853,8727,68886,33042,87553,83084
52818,18833,90230,68899,29367,13434,31300
35196,98483,85209,68988,72993,70779,75760
98124,90739,29118,69080,18582,15100,64713
37706,98743,3592,69143,5274,52897,11077
30443,47878,56346,69314,70469,63813,21449
64673,67649,10766,69316,7737,58567,66852
51350,82650,15714,69403,57999,13249,61904
50053,18553,56785,69531,62425,35444,70411
58346,16202,74370,69553,55148,52361,58400
69610,19973,64644,69763,5105,18515,6406
50538,30140,44013,69952,77232,19413,26289
86662,35910,96020,70004,53197,62306,68233
31476,49793,52742,70050,34934,54325,31138
42782,94724,55094,70050,82038,68825,45961
9009,82525,87652,70064,82038,68825,45961
96997,11084,17452,70217,52419,10267,86805
28407,36850,80051,70268,56816,9081,19789
43990,72388,155,70276,20417,42034,21929
20010,77132,47620,70305,70764,96060,15861
76414,19259,43568,70418,10458,51005,10843
5117,61298,85713,70438,10041,81093,81209
39798,64843,31425,70525,86787,83569,53043
73927,29321,98467,70648,51312,94853,78276
18620,81194,39166,70797,70606,92454,11160
51069,92450,58152,70849,47281,19670,61477
34181,29963,21707,70875,77694,88113,73863
32945,4510,89207,71390,98917,27155,3027
88778,37164,63507,71726,79764,84547,63799
46697,80253,82110,71749,54653,82568,23315
28548,55309,44059,71749,9833,57557,36333
5480,32933,74825,71875,68445,49378,65796
9694,86270,36558,71890,51801,69611,7033
69880,71961,21520,71925,75955,13076,55987
57146,19818,36980,72178,70536,54211,75907
3066,47740,62571,72186,76438,50139,8026
45001,90786,61717,72321,80452,52743,59654
30535,58173,80298,72520,6603,95065,40502
50161,2852,44607,72624,53689,79891,38711
21966,87358,4079,73085,16431,74621,90385
29536,58861,96086,73103,47285,45198,25367
66014,9128,95525,73108,51967,4769,74758
86960,30867,16629,73237,70169,80836,95595
321,30684,75415,73280,70615,69333,9425
65585,83876,51248,73354,37812,44892,98702
93893,77727,59681,73738,57175,12525,30053
87286,16793,60944,73810,37978,91759,79977
80259,68553,50473,73810,91395,79798,48916
60508,80970,98672,73951,67514,30235,30861
40416,2086,41740,73970,333,2953,91399
63941,45848,24213,74601,58276,61713,8441
32093,7026,17297,74673,23264,23081,93623
39737,52986,48423,74673,25758,89227,41198
45917,51947,34088,74818,18960,65203,51466
16642,3153,56472,75179,56196,5415,90300
65671,82142,89095,75184,91430,23410,12967
94447,93012,85740,75202,77796,915,89807
89003,88647,48281,75228,84075,43864,7952
10358,5453,29587,75238,93492,90794,84806
77378,24579,54725,75251,62905,44204,30459
1717,79483,82102,75270,511,40603,41630
12517,81255,39262,75294,77177,5201,1397
71455,59442,48119,75315,53468,64729,93803
71001,45554,10069,75327,96308,69471,42227
47983,95153,32548,75372,59742,19179,50205
47983,95153,32548,75372,82007,97638,82353
48346,69968,76251,75406,91774,21853,24261
15177,36600,73478,75490,30982,87701,53428
32004,88534,44698,75490,74080,28679,6104
48229,74527,55526,75616,20502,39227,48278
64870,67544,10780,75725,26894,92445,63715
68702,37108,795,75760,86076,23293,20597
2487,95630,41505,75844,82310,1089,70554
65144,41568,2710,76309,27362,32387,59792
52149,80237,94046,76440,41840,16177,55010
67713,28008,75753,76560,79431,91616,17984
31858,99313,44210,76609,29444,27686,81312
4186,22693,29511,76609,69786,89792,30968
71657,88573,61723,76609,69786,89792,30968
73321,38646,99019,76805,98425,99281,64750
76646,58446,28659,76836,44511,46636,70113
37389,5801,13406,76838,24139,79086,70596
18140,4567,53633,76904,11963,89667,98595
60346,28352,62448,76908,77325,62566,81608
54193,31855,86967,77139,54505,74078,64232
72652,97701,81682,77172,73624,24001,61351
94408,81380,49988,77299,93536,93370,92945
19187,59758,81427,77436,26073,66680,73463
66655,29209,68987,77455,94673,22671,60586
63561,81070,91585,77455,59196,14638,42542
99120,25198,96907,77469,376,94519,80467
21573,51009,51421,77552,17986,59788,91989
13848,29612,90181,77613,55041,89864,84971
16025,26533,59442,77771,92622,72539,36164
13660,40149,77637,77886,76803,16766,35384
96177,3259,13852,77901,4666,85529,29528
96177,3259,13852,77901,80575,99989,13109
20800,61243,77307,77976,27692,79252,82388
97098,16820,31909,78001,14312,23899,86146
21659,78646,20935,78063,53522,82065,43733
21659,78646,20935,78063,25934,69049,46228
79891,69042,78593,78248,78335,5073,49769
66059,86513,72604,78582,57342,5389,90130
35182,84283,41742,78721,36617,82470,33658
26723,7601,85978,78721,74112,85664,36297
55238,84546,59860,78816,81087,39350,20110
62165,71969,98554,78907,41275,97158,62821
67048,67611,22281,78927,64115,24285,64667
46406,14319,14383,78974,62634,70239,1282
63225,50496,80563,78974,63074,50618,12652
80810,95585,82417,78986,65457,714,48271
72816,24412,432,79012,782,84394,6669
72910,52081,24928,79012,85423,79294,90755
53507,83943,69567,79199,38880,17644,22890
14543,5673,24332,79249,64950,38544,15596
21445,8323,25944,79309,90084,24502,25475
2046,32407,42934,79493,42641,15736,94121
53254,63170,3328,79535,33859,4237,89347
20193,15302,9642,79632,93420,82260,87100
90885,45164,35039,79740,37902,56019,42890
82146,76496,95552,79750,72538,28297,58043
82146,76496,95552,79750,19373,10545,48319
21871,27479,58502,79832,98338,9996,29859
59551,56894,85503,79941,21019,41281,13370
5138,43050,19469,79963,23487,7625,14757
58381,64047,65970,80026,51646,21814,19288
58381,64047,65970,80026,19688,30661,62596
96208,69854,49555,80053,83963,22552,8528
60903,61415,50843,80267,60460,10880,96435
46903,87293,69683,80366,11513,73300,68827
25338,98944,54534,80394,42784,1300,42012
45058,60392,36800,80535,37808,49949,3301
82615,8848,37600,80677,48342,6065,83702
97751,69433,64855,80801,12389,72631,67878
7563,37282,24347,80855,34348,79124,53101
88351,69970,45445,80855,60777,83930,37816
73876,90082,40273,81047,43747,49486,83321
5967,57883,38513,81073,58781,94096,76264
6432,14660,47854,81084,71229,86678,4960
76277,45548,78574,81123,65368,35668,80830
26337,25661,99846,81132,98810,89699,45208
52923,43119,87783,81173,74394,35201,13894
89458,65767,23418,81215,80851,20844,23253
91803,85207,6289,81391,54606,19880,53097
57038,34963,95747,81391,63843,69435,56013
20791,67301,50115,81418,63843,69435,56013
26666,48034,47381,81443,41092,86222,1925
70584,73619,39430,81573,45425,82506,80714
2501,86620,31073,81573,19318,55763,53153
78067,31142,98856,81618,4413,18170,56708
44128,23511,14607,81685,2062,89246,45285
47848,54033,63892,81705,896,53974,91277
25826,31528,78743,81731,38776,34827,5936
51892,18694,53825,81898,66298,45975,16581
91034,6383,30055,82096,27231,53180,25010
92857,1632,21574,82325,81842,86433,95639
28548,91321,54066,82337,11465,52097,30931
38315,21566,40874,82389,36854,70390,23750
85048,2853,25850,82418,82992,13170,53327
72594,28651,86132,82500,50049,1306,98107
63529,8929,83773,82500,20811,55227,46633
50793,43184,31274,82510,20811,55227,46633
12086,43649,78159,82516,41213,70069,48318
39466,35896,42097,82516,61667,36939,69393
55277,9676,65656,82520,61667,36939,69393
6198,84381,15645,82558,48794,68339,6800
2603,47300,69878,82693,25858,93764,73378
17174,61359,98088,82693,61857,48667,60605
81906,21764,19449,82811,87253,15462,66451
72700,50630,71041,82887,74609,6297,65789
72700,50630,71041,82887,50033,681,15159
85463,83134,15872,82907,93681,1873,37640
92557,48308,96691,82938,39478,29731,60297
21763,10433,328,82972,34714,7873,95239
73230,61507,81999,82999,75900,52189,87585
51690,38385,32542,83036,47780,567,35012
52871,10405,41011,83191,83171,12793,23606
92967,15986,64039,83259,85567,40754,47859
9643,90264,34234,83403,41889,91388,42618
34469,98400,45119,83408,1040,75251,10372
40072,57433,16551,83452,80086,61862,78211
3808,97667,121,83481,68754,19937,47053
87346,26948,78677,83523,70583,67140,22484
87346,26948,78677,83523,74667,60608,32644
40354,22311,2238,83523,66489,480,42041
40354,22311,2238,83523,74667,60608,32644
58477,80277,36212,83547,66489,480,42041
28628,30718,30989,83649,13103,79711,55306
92264,90292,39834,83817,13429,34799,79703
26663,72425,44425,83987,27647,17404,66831
35912,50090,15084,84156,22863,60844,84305
11875,61477,34710,84426,23069,77138,16104
65727,21499,99280,84517,68355,62614,66398
22703,45998,65614,84660,42624,34390,27152
23671,66871,84069,84888,28081,61744,55373
18052,21771,26098,84943,54388,99705,38612
53745,21392,33582,84943,92654,385,64020
480,22405,44739,84974,43427,22732,90865
29638,84296,2033,85045,49190,45030,26221
33002,76831,90603,85064,18880,19113,91780
76236,84051,72190,85075,69762,74675,14052
55460,96012,28327,85134,41265,3075,50278
75059,48568,49810,85484,45675,41266,99156
47151,62459,5645,85612,24459,43497,21748
93162,86034,48390,85669,92210,889,19906
7948,43480,91126,85683,29158,91852,83994
88799,76883,21047,85822,41044,41507,1054
50641,53337,89754,85839,36115,23693,97246
50837,4051,9202,85889,72898,77510,99434
38067,7828,83515,85985,29865,176,2753
67297,87863,71792,86016,27404,42263,39022
45133,39297,64511,86074,37246,35029,7168
18630,50872,6833,86232,37816,6801,91044
82063,2532,29580,86318,17255,862,47864
43912,14244,40748,86321,96115,7210,59569
16408,77156,94142,86432,75140,81539,69411
5855,72923,66241,86674,71630,19415,71917
70121,20779,74067,86742,48357,83386,82849
1135,54768,7856,86750,63813,10904,60623
94302,3645,15966,86789,11119,36873,62164
21228,44012,64073,86906,2262,63490,18173
61415,26704,66750,86906,44317,31796,14022
17765,9814,70566,87214,83145,39533,22282
38875,21306,64060,87275,41088,55068,38473
88426,41150,57512,87436,28612,4029,26452
84398,5800,41895,87485,99847,27007,72189
40845,24725,93385,87527,80150,2482,2788
84916,58296,25034,87527,82922,42975,99962
15516,96745,396,87592,57726,15587,62925
13651,10454,46850,87601,83777,71121,60343
56324,59619,59707,87601,8115,92786,70280
76284,30668,15373,87920,16348,43487,75798
29461,27475,43517,87920,20283,37071,28419
28861,34299,31578,87932,20283,37071,28419
71673,44873,49288,87932,16305,48729,50770
22200,85534,73590,87967,95938,54471,43450
59899,3095,77371,88077,75819,4972,16321
20807,70613,32084,88144,10227,90906,71974
38510,3066,63924,88186,42241,2609,43943
97318,95449,44308,88482,10108,71691,77822
97318,95449,44308,88482,32193,93682,26748
51459,55929,3201,88852,94676,85473,75635
80418,59092,49102,89174,22987,72605,25161
55491,58826,78298,89320,86202,2129,29252
86048,42405,90620,89426,47949,41122,60628
65130,85691,85812,89482,39560,58962,81660
58789,40646,94650,89554,60464,42093,83818
66803,84472,55571,89676,47537,76055,3234
45723,6649,15659,89752,56862,67909,23268
7541,37309,33607,89883,30915,18185,51533
7541,37309,33607,89883,14873,57480,91827
90486,21774,79923,89898,79811,67147,67285
34111,19475,98195,89898,52442,1441,92702
81023,27976,76408,90070,87379,27199,47395
67020,45392,42148,90105,92620,26546,76157
14455,61496,7042,90142,97025,81353,80683
21142,84576,80693,90162,93111,10459,50040
62314,73922,96463,90430,51156,58329,95455
52213,36038,26306,90614,52724,64080,89883
51777,4587,6456,90654,13298,25853,96536
33975,54942,47956,90696,80708,11152,95436
7245,72182,55923,90768,96891,40128,96359
44896,412,21895,90854,89377,29111,75293
25182,75357,27847,90895,3984,1904,10544
98341,17799,12052,90895,76900,59063,19536
39515,60633,37040,90896,76900,59063,19536
39515,60633,37040,90896,76355,1639,77789
24251,46506,17851,91053,4347,98194,59954
29248,62505,55818,91053,86565,68229,75953
79140,84347,42561,91162,4881,17897,59783
77979,31578,90582,91172,83739,15573,69031
67739,51790,43163,91188,54907,6426,16651
64052,6630,96719,91242,14398,76790,80956
3592,45323,48927,91370,57323,60739,57186
32323,23450,86017,91461,5719,21051,84514
91384,51101,32690,91461,274,2617,25127
7045,7829,25841,91467,274,2617,25127
6068,32587,25194,91763,81740,50479,38587
31032,43337,78867,92158,45652,87790,24199
80071,8172,71173,92201,24688,51296,44722
30678,33372,65544,92255,89277,37934,34840
47211,82131,8451,92324,90426,42330,47428
47211,82131,8451,92324,17379,94308,69073
65961,75606,77584,92376,52596,81125,42316
90560,44449,98508,92433,68970,90348,38555
95091,535,4697,92597,62771,61501,25806
86643,86471,62481,92771,42711,42694,4600
63856,12718,88162,93000,97425,13106,31917
32630,9741,11006,93000,92868,99855,4265
8612,71305,30181,93078,85896,13309,21960
72132,39383,19590,93247,2882,78629,28586
44974,23113,34454,93423,35904,74909,65478
74366,17582,62007,93454,49601,46641,16692
94091,78319,323,93497,53464,49417,93608
94126,43326,90244,93621,6485,87135,49643
90708,58218,93344,93621,31069,66103,16905
28567,36100,76425,93858,43115,28402,54962
75591,5487,28306,93982,85421,17130,50920
79887,51731,949,94159,64295,72157,42995
2023,17094,76358,94264,53909,61885,10236
64940,90587,89588,94523,18159,84037,96024
31722,54634,5162,94581,84579,29514,11211
31722,54634,5162,94581,87750,31956,66609
35522,8946,20855,94750,39027,55443,65622
96609,41155,38047,94845,87588,26370,77483
78915,31340,69481,95044,46989,50390,10660
7416,53681,89598,95439,86688,21336,41438
35486,26933,99546,95444,94996,29327,16351
12313,58704,15613,95484,54910,95577,53776
29621,14041,58937,95493,69185,3344,31
72174,89718,40634,95505,87599,3411,61105
67180,90388,64989,95601,11533,30058,60357
40221,5366,50175,95921,52987,35596,31961
46789,77161,44256,96043,46984,43494,7745
32483,87781,36724,96051,58902,13286,37902
70970,36616,33943,96079,2180,91218,62301
201,41384,3691,96083,1078,24329,62898
84761,60909,14170,96227,35774,51812,39358
67270,93975,1691,96227,4899,17047,76590
92722,47153,28208,96269,4899,17047,76590
21636,86038,26188,96280,38634,72189,4246
14035,80463,68062,96377,76402,51034,33119
84342,13856,36870,96462,56537,26071,70177
27422,91665,52658,96616,82660,80569,81296
78915,10670,88843,96650,3496,13701,92980
52516,20048,95211,96819,73702,83004,75731
49295,87610,11034,96826,63836,79413,80733
33837,42203,32864,96830,35341,77280,5164
81315,71538,37858,96865,87668,70247,47748
21195,99183,12336,97001,75410,74646,53204
46493,47409,91526,97164,93161,40083,45631
45081,12823,29732,97198,49768,52868,85260
40008,72239,10928,97343,97033,43577,84983
88940,4373,38344,97806,99029,48003,27770
15871,36230,86473,98004,32729,3681,10099
43801,31216,96310,98108,38459,42108,19626
87398,95253,53860,98108,68460,29688,94370
45612,64836,75152,98314,43499,86345,92094
91037,10246,18508,98421,93799,39836,51892
91797,77412,71143,98421,77953,15756,34562
24625,74343,99215,98677,63989,6577,19979
22669,1595,28414,98677,16449,74875,47202
94029,21401,18405,98857,24867,47899,96661
55221,77489,25765,98861,36859,29786,97124
72905,28522,80507,98863,7470,8249,58506
2509,71899,74993,98967,83736,42957,92036
61403,32793,71602,98967,26818,16324,8435
16865,77607,81730,99069,81050,19474,72828
38503,76478,77025,99094,98358,62861,84529
40215,71270,76138,99094,30410,32337,14172
95232,12445,66636,99220,47801,37143,97090
63862,82050,82272,99224,48327,32946,72270
28859,42095,83145,99224,46864,94063,4985
7127,722,70349,99346,44609,14715,10810
57414,83856,54799,99381,56602,81684,1875
32966,95781,26895,99387,68449,1714,90811
46240,78922,63109,99496,29483,86171,58124
6748,67352,17625,99663,19255,32196,91912
64875,73904,57036,99693,90092,28249,2129
68325,7093,72842,99698,64078,97235,65718
2422,82274,31984,99713,63068,93076,41994
79266,21337,41328,99724,74414,13001,62252
312,38139,36383,99745,13547,8331,98492
75714,98059,35109,99805,37831,46993,53945
91730,721,87990,99974,49927,63078,71886
