B1,B2,B3,B0=D3,D0,D1,D2
59363,47119,70873,80656,70597,5149,15668
24039,65231,31199,60675,60217,45307,63291
81589,59871,74068,70891,86628,97148,32589
98329,87579,6373,82569,88065,5279,97204
93017,80559,76075,11888,36283,61685,70588
71925,91308,29864,32391,47267,80685,56200
17895,76139,32630,48294,92584,57100,6700
71338,79388,33476,54123,59757,40275,77627
36717,63584,44362,72842,83235,96358,73218
18554,12566,4394,39589,89474,48602,28760
13314,56869,58684,45628,97585,74761,57058
23272,6260,17212,26839,96069,68655,82473
18564,97958,28865,1423,65219,94369,14479
47591,58857,5327,59673,63920,79993,84181
5174,71460,37072,89969,10578,99562,86886
44476,6385,95640,28651,80911,66309,41525
84898,14976,50702,31384,81489,81060,84468
37675,94554,31947,66975,33716,60430,70957
99659,88382,43232,93467,78413,80491,71149
49476,78452,79100,71508,84721,53169,79311
47591,58857,5327,59673,1120,88235,6384
49145,94685,51315,84905,24523,33598,32689
81876,71386,60379,12952,79258,78310,38668
98329,87579,6373,82569,50580,88746,41997
12529,56776,27974,90828,23718,20336,12050
89326,65196,39665,81657,72597,47610,89138
90146,96647,59387,94234,46846,28962,80526
41562,82799,26409,72251,1057,12882,78616
12344,64834,98982,19599,49441,43725,71030
5473,11377,18295,80278,88918,17902,65889
47221,97891,50766,36865,1317,53,75298
69249,74536,19143,78379,55898,77288,37967
66450,31235,59726,24706,93719,40554,87218
85954,67370,75394,22220,54993,95243,16079
95444,19253,43744,23774,45702,73234,67161
13264,77482,84031,40100,18447,39851,2285
84916,81829,44567,16938,74492,46208,50716
78654,86494,965,86659,37260,34091,36504
23389,87187,87379,24741,37848,7844,229
84916,81829,44567,16938,60773,93688,14364
37213,61726,33736,6354,74206,58381,39657
97905,4600,96510,85248,27460,14816,83732
89565,94654,25152,77015,88739,28965,87653
54299,94145,46151,99665,85440,33865,62563
89492,65445,78558,74568,85763,74499,40831
62469,14925,93538,80125,68972,36691,23775
7831,84785,8071,83161,91152,88226,91150
23831,54360,22087,94282,45825,45247,74537
23831,54360,22087,94282,68585,36645,57193
84916,81829,44567,16938,52377,93507,10936
36774,57973,19809,15859,36361,37025,3868
66910,24992,67558,22799,41474,546,99490
3118,35885,92088,89495,68399,88620,97356
94639,85467,30126,31626,74511,10942,97441
55968,3820,31362,12604,3795,78027,98114
97905,4600,96510,85248,7193,68810,21080
89167,10144,30079,63921,62311,68050,6561
60055,3608,82497,784,97207,12065,69299
92896,27010,32265,16769,17549,51333,21802
66450,31235,59726,24706,26191,33035,42299
63919,4445,46786,17114,9065,54931,97662
83617,63222,66773,4870,66848,67010,27217
33412,81076,3280,43996,91212,53233,87663
13479,86943,43249,90652,39813,56289,62811
83448,29202,4517,37377,36646,2170,75102
87805,64414,43458,17051,36956,62297,6421
82267,26818,56633,40754,11547,34586,31038
3118,35885,92088,89495,25742,60113,88453
50048,3295,36038,16323,23497,58145,65452
52503,20847,96083,9911,93625,45135,81292
8375,39323,30592,51018,13414,70509,6238
12344,64834,98982,19599,25969,84442,96996
50020,16317,7039,6470,45071,81550,4360
40719,3792,28726,25885,75690,88358,34840
92896,27010,32265,16769,50249,65597,46732
88982,56318,7461,69234,17042,79303,51271
32335,37881,17046,75506,95874,88663,70438
40338,17230,20629,22170,63996,42391,32541
78654,86494,965,86659,16311,56969,61198
85954,67370,75394,22220,78678,78573,51807
34694,85681,76228,1344,60568,89154,83750
11435,51191,16639,92578,1895,42096,18038
64420,19241,85822,3222,17350,31108,36606
93882,62787,36165,55751,27670,80894,20972
19651,77270,83230,90132,95399,73217,63535
31494,77409,17289,84026,32420,13720,37274
17409,95024,92272,35241,57652,33128,75052
35957,51593,18301,69016,12444,85147,14436
87158,38901,67627,80354,64213,50303,81241
10864,36170,37563,47085,81189,7381,41498
63919,4445,46786,17114,89961,5467,40305
71939,61773,76966,36785,28122,28588,46453
7487,41319,69641,84895,34898,34190,26554
58077,9807,22250,68836,41279,77234,52013
94196,68152,63329,36469,57371,2739,59746
52268,11007,75566,42918,9894,47328,64860
29742,96235,56463,12675,14254,7569,95642
35694,55233,9888,41752,38137,50817,61370
24098,55224,50180,70919,30617,91948,9600
45667,31994,38092,61092,22294,97317,26976
34351,98057,14597,41739,59758,7958,88276
54178,40956,98571,1454,53391,53700,37332
12712,91948,75498,9110,34090,48138,90585
57482,70303,31196,97131,73376,24846,72820
90124,78834,67837,56634,56101,88115,78728
90615,41209,56657,75640,66613,6305,38732
98059,14701,83593,51730,33871,90979,6470
60844,96832,8548,91688,16978,52877,79756
64102,50228,13579,60398,71786,94939,83699
37386,23250,66863,81553,64563,98711,83870
38616,56103,57530,73159,75742,32394,72753
12809,95503,27841,4310,22333,42582,39499
84981,61256,34247,86782,191,34022,71503
573,22020,56976,9377,63577,6732,2189
64102,50228,13579,60398,36520,25359,72579
2271,38297,21868,85693,82288,17594,90411
33601,95970,21613,29165,12596,92469,67822
57482,70303,31196,97131,66609,26043,47366
55762,30859,23827,40909,13675,30337,72419
26108,48564,25892,36662,11272,86213,62379
5417,16685,29201,9909,23112,74187,35678
12394,85496,88800,50861,40270,96847,68745
65695,69635,62325,47246,31454,87771,20650
67850,7247,1553,26224,20227,22653,96229
573,22020,56976,9377,32699,43206,7609
71747,73806,60059,85993,82443,840,43766
71784,69398,90691,14788,1937,37833,18093
44941,16449,23655,65482,30196,9582,16182
58505,69128,77734,68849,33864,62034,97712
35235,67554,61392,4097,84692,37202,84836
1878,2508,59993,60595,10124,6227,50242
43266,3586,99506,21060,13461,87375,81254
40995,39048,19878,4325,46129,12423,24947
57327,38425,68522,5829,52441,8527,70696
71145,73074,893,55440,11838,21540,39096
2271,38297,21868,85693,80061,7230,21562
89627,32834,88070,47061,59649,19053,7285
84981,61256,34247,86782,93174,82728,44496
90009,87283,85363,45278,34125,5984,10690
93990,98951,12770,14768,68795,92770,46093
22238,33878,70035,83915,14259,33777,1252
76237,38047,72747,14484,72036,52759,17529
98059,14701,83593,51730,71906,89650,56126
83447,3367,98347,33735,80176,40799,59500
38616,56103,57530,73159,18982,30650,44495
15210,68851,64479,51356,20903,35848,40236
23113,61914,60468,59879,82022,20415,95070
33074,25564,70163,25810,73299,71610,24325
62885,95902,68366,70912,76590,69545,37401
15210,68851,64479,51356,11466,73371,90834
48467,20671,75545,27989,66952,50138,61802
67850,7247,1553,26224,3394,98333,70220
36872,70783,87804,96884,72959,4512,76214
64828,13556,27979,17233,51000,2147,79314
45623,77242,56335,2811,44022,88132,34246
1051,30119,92135,80194,39334,20611,10999
77415,6730,11190,37505,27993,53555,75536
81758,14635,99977,40227,37084,85211,63855
42038,76941,80555,99248,75356,4813,7848
8789,58841,39209,42438,60791,44580,25530
15378,61753,98417,3205,19809,61291,43541
46995,61523,53310,65987,78762,33928,57861
46639,83657,34749,21619,71929,77635,59433
95959,33714,36289,60561,79724,6090,38657
52400,89533,91168,55934,59216,97628,68580
57163,26750,40955,64996,7685,23343,40894
95959,33714,36289,60561,44326,66738,65038
58213,68205,64097,50099,46751,43916,44462
33939,60952,96756,18296,16240,71349,69164
90288,90754,52464,21981,52001,89510,10422
74982,79181,61353,62684,37218,64520,69739
78171,32089,69588,44276,44049,42935,34279
24643,4116,51025,14409,74815,76119,48923
21843,84860,17763,67681,22535,25714,51576
94634,14902,6771,9538,38507,87788,62315
25446,6781,85374,91062,53327,40970,95743
48627,58720,23338,54646,54849,55685,76349
97863,65312,45928,82252,58115,4645,79582
51991,72693,16201,59469,60281,33373,57277
24033,71391,13971,16575,14990,6513,17866
40813,88180,97135,17698,63996,5569,46556
6357,88085,77314,30203,882,95046,4067
44600,53079,17971,579,60199,19284,23813
7165,29566,48404,6453,39891,75272,61430
54562,43003,30118,77968,66692,79780,41940
2575,30963,89125,89484,94719,95855,47946
96867,7220,82688,12628,53650,6822,62629
73692,66208,2638,3759,77191,42267,66176
46743,29506,60820,83562,8531,40921,34209
47388,62274,62172,52322,79071,80798,85800
54562,43003,30118,77968,87344,47407,72649
88655,7700,33220,75311,22300,39645,30544
94865,95299,97592,60957,39459,10986,56058
85192,4680,13289,44678,60427,49826,72879
26032,89178,89349,15952,65931,94771,52876
5366,39821,56452,98678,14941,45451,69846
16437,15872,29277,29795,32418,63040,4639
96434,67531,8896,83484,29305,62795,29476
37730,59875,53832,10199,159,99610,2383
97863,65312,45928,82252,59892,8175,16255
23528,17923,39565,60787,40953,86808,81080
10846,69667,17829,41909,85030,76844,37842
20507,15293,79069,89208,42599,84972,26672
44812,10363,42251,21536,19665,33267,66031
70832,69186,55975,3756,48835,37911,53977
8403,16853,37503,72811,1726,98955,51052
55402,41422,25268,6633,47501,83573,47605
46743,29506,60820,83562,23304,75637,11587
2758,92299,44155,12856,82826,7603,4233
58750,61431,24135,69078,84150,58648,19310
44869,18902,62406,33005,57504,85719,80506
67940,8378,18199,11160,54833,47511,34164
96867,7220,82688,12628,66629,96672,88643
38804,27006,18527,56073,60095,91956,39719
83977,89432,56977,67020,85390,25852,82983
94513,61220,43177,41952,11292,4056,51101
80880,43534,16765,65257,49979,8373,34180
96867,7220,82688,12628,16878,52226,74281
18965,63562,61743,16168,61550,13924,70755
83114,27376,49117,83766,9469,71548,95255
92647,54275,37414,40259,10552,96573,77292
15300,77081,67918,62411,11819,27604,32972
6542,94306,1816,95094,96971,19319,66192
56661,57199,80593,84806,66534,57812,4147
11538,64003,41394,42712,56848,99227,29962
32374,83834,10248,51307,86961,59310,78264
79865,79205,48340,87085,68931,89774,89104
46645,31322,47797,50946,71825,37207,31149
37138,8965,70060,38097,47128,91932,76666
82285,62209,24216,85475,81321,59862,86252
84895,83318,62568,42085,19408,25095,79596
33043,53151,55623,30179,84754,51569,44086
58342,41822,64211,86782,191,34022,71503
31760,42233,8979,64864,34821,473,52899
67482,21948,2897,23003,89395,40700,3832
22517,48305,61517,47399,49805,39790,86020
5234,13932,53308,50999,23008,54088,89362
36664,31059,98531,52100,41586,89065,98033
46586,48257,80505,28884,64345,64672,44181
68245,8311,5751,84573,63037,33916,84393
60001,97008,66266,30820,52080,9235,37519
20113,71165,59867,20897,92680,7133,52681
79663,92415,74085,86979,9193,41663,41824
52732,94635,92109,99415,49235,51550,81526
33628,83725,61839,96836,55815,2983,32075
23275,52929,74759,8026,82698,86117,67564
91578,49223,41651,86980,13206,10005,6582
49728,14224,89519,52375,27636,39766,37424
81224,75403,23091,52375,27636,39766,37424
83132,74504,31094,83583,17263,96399,403
85633,65319,3305,46475,25150,77523,75456
70192,50407,67045,67108,6151,56611,11195
84329,10439,17985,41253,16582,84916,94082
60667,27803,85524,36771,29546,68984,96718
58342,41822,64211,86782,93174,82728,44496
62761,57986,42160,32724,49656,98052,2495
121,61132,33094,99761,93166,60459,76806
10988,69121,81171,64474,35389,81467,85017
9200,8272,11616,22539,76252,82679,10044
20997,65381,82471,64397,25741,72827,83978
33628,83725,61839,96836,76137,25289,26148
10988,69121,81171,64474,16891,4084,50397
12252,57365,84651,65066,3325,8523,23875
4864,49622,66989,84017,8214,66528,79778
73936,9728,57367,39183,32812,76124,6003
44419,7542,90993,38588,44347,58546,65727
22517,48305,61517,47399,52859,20900,33499
89943,4403,26224,84760,91872,26774,74222
12873,68813,23990,88976,32898,75675,39574
82118,42953,82594,87957,2154,37730,50281
85633,65319,3305,46475,68639,55688,18354
58243,19618,61773,53238,86852,216,12118
15733,50220,48753,20116,74779,89837,19318
94842,7658,62484,90402,6555,54224,83152
92274,65835,59745,19601,91503,66268,81512
19316,37834,19432,40045,99396,91265,11977
73862,12078,65801,63104,76921,33279,94899
13088,35022,6496,45305,85002,91054,16546
6440,78164,72720,65297,1814,74687,58515
86521,95041,63850,23081,62464,20541,37057
11212,58972,21672,15328,52221,27400,40228
73548,90153,96518,97996,4434,82354,83890
46586,48257,80505,28884,74111,17020,49089
60001,97008,66266,30820,35509,28310,75502
32077,53853,51969,55463,41255,91505,85999
9791,64706,41516,38603,94574,86731,18808
59250,21979,64774,64320,39782,92068,9086
60889,95307,48591,70009,6325,18351,63696
59391,30343,81272,45605,1757,65254,56251
9572,14141,3461,84723,6437,498,25863
50461,5358,47766,87961,16377,53329,87937
35490,26185,9483,23871,75996,77801,90267
63155,86733,24114,43525,29196,92737,13089
96958,96649,17450,86367,13661,62682,56721
74570,52638,18057,84512,86097,30852,620
47636,49584,42555,47240,40834,30490,17846
17861,10112,22897,68190,10009,96982,95151
52423,11092,41398,65226,74149,70239,27593
92187,54111,94139,13383,97897,68036,9884
45964,65638,3887,70872,14627,53477,18550
76548,20465,97757,27161,10662,55713,84936
11264,86812,44704,16131,49936,91977,76340
53830,1406,73728,67582,26600,87354,15911
69558,54067,40479,91554,61339,69600,23946
57897,90540,81064,61775,77289,12886,90486
67838,81460,39893,70445,44019,88000,38963
53830,1406,73728,67582,90472,83699,74528
79270,3563,41801,58629,92711,16463,78843
10679,80718,61313,74166,28812,69975,22365
53830,1406,73728,67582,16281,93446,53283
5787,5929,85246,26849,85498,91319,87564
45230,82206,8366,30528,13536,21527,74252
59052,61468,17195,65142,85590,13844,91631
31836,88831,24806,54498,35696,53264,1745
74643,25408,54940,63123,88097,81037,28972
80292,24966,77521,35030,68905,89997,67254
16532,36974,86103,22656,78709,96917,70862
1195,25762,61862,38771,32929,78974,83871
99855,24531,69998,83719,28889,13689,828
70808,94534,91748,23394,84775,91340,19878
58876,8952,2201,95186,6633,70800,89955
556,76396,70214,27573,76288,18977,864
547,62070,58912,60550,90024,85853,23248
59539,24223,97282,91757,78495,71772,2872
9246,69931,40371,43660,95594,55842,26033
44512,45341,66293,35553,35309,11350,95547
57897,90540,81064,61775,10693,35013,36829
44521,56449,37187,21837,82081,676,73695
25586,74343,32611,20869,68299,60353,23733
63155,86733,24114,43525,14210,16799,38987
59594,74172,25324,81702,90316,76355,92300
69351,35282,57089,40438,47694,70506,18021
30213,92513,50063,50849,27096,99705,24121
43681,85901,9979,88572,34346,71251,34920
47169,71371,22077,65328,50359,18122,94220
35490,26185,9483,23871,75331,40869,63121
45964,65638,3887,70872,7580,8859,35940
55302,52317,2295,67594,40160,89193,58533
11264,86812,44704,16131,88641,78200,15714
86931,43547,93314,53586,89234,52307,17717
5357,1704,39516,76704,52581,20251,49098
54845,3969,55333,61501,87164,84916,93108
78456,3296,50943,52415,74625,8352,60182
6416,58742,37682,86082,92616,70373,31914
79357,99981,51072,29501,75046,26636,42379
78456,3296,50943,52415,26766,62798,67096
97033,36541,33065,79219,80495,77393,58930
83795,83999,69944,62627,63845,6183,44404
83712,92077,83843,85924,52731,86417,47445
3853,42917,6447,67274,10663,84583,24857
22043,28576,41036,62852,6886,73567,45136
78913,49865,13078,67111,45427,35797,79551
14827,36942,3919,33573,67567,8868,28931
90961,13118,448,9116,4122,39008,4991
26963,71720,77920,76816,42483,27434,79757
303,40787,27667,20996,3637,73181,29806
51783,8949,77389,45644,54807,21012,16454
76209,95493,53695,34505,80709,29192,11700
67826,1116,8401,84188,97468,83497,29468
66725,3026,6818,87569,14517,77977,22142
65309,89119,35604,48070,22517,80289,60709
98314,24077,31841,44179,46593,18913,92116
14827,36942,3919,33573,49749,83721,51247
8890,23493,23317,63143,54965,7611,48623
7990,17243,16366,74299,58053,84991,68168
67304,12152,97056,49707,21359,47975,37105
78913,49865,13078,67111,28634,34164,88842
38225,34662,74033,8977,31061,72411,647
51783,8949,77389,45644,10980,99326,34390
92229,19223,36680,66243,96122,62034,16232
40870,68113,96166,99962,29172,74273,86631
50618,27047,36877,65058,26268,46394,72022
77533,89025,4844,19657,56833,32150,86451
98314,24077,31841,44179,9208,25080,84205
14421,48084,11102,93409,71470,64809,96403
36667,46680,20484,47732,85231,85801,86028
62523,34987,51168,40419,71833,73006,93458
63540,10123,54712,7732,46641,32773,9959
29781,38103,72452,27968,15401,67618,71429
8766,6710,66654,76265,18353,32113,4711
86098,33539,53547,57725,44401,11159,82219
30825,17138,30797,36176,84370,81587,61898
94657,41600,95869,42806,14157,73978,29096
59485,2672,19873,56376,34814,78118,29088
96023,65479,6304,5707,48409,85750,66816
6416,58742,37682,86082,53221,63390,62304
90587,89554,93518,3002,9757,11399,73124
44240,60393,32238,35015,56928,78785,92670
14025,1915,55065,50497,94126,12910,71465
67803,53256,25905,2184,62223,74120,18554
92229,19223,36680,66243,8892,26217,87554
81624,89496,19493,67420,9154,89474,94069
70757,88125,83788,10950,44585,83808,75670
79309,9649,52362,50844,10717,43082,57925
62187,13896,92477,62264,17857,44933,53480
21949,26530,57915,31266,70052,59414,22010
71522,95054,3901,60329,65789,20742,52458
92229,19223,36680,66243,66311,94566,40862
58667,1691,85585,72249,21968,34451,61815
63303,24642,81197,48583,98042,73269,51292
74067,50189,17097,61425,73493,73873,24488
30685,69576,44816,95036,42325,47335,76484
4833,94613,86594,18209,90450,99920,14406
8855,61280,44833,64688,1533,87138,82333
29483,64415,70868,13593,12176,55423,60768
58583,61837,73563,85371,32477,84206,52339
61718,5935,83756,90119,98331,65275,23033
49965,19159,14144,769,59921,14104,19042
17911,35073,69407,78213,3214,45128,81792
33647,11694,27606,80903,19378,25410,49093
88888,4437,99555,92720,92142,13520,4684
13927,51174,84486,77941,22961,58772,25008
49521,61018,10424,56451,27214,36821,25051
7321,31457,217,55938,72849,68790,40073
3693,18619,47261,73203,15829,10555,24474
29721,46499,89413,4019,81244,77939,98591
49838,42730,81007,84564,69602,73355,99258
18347,39922,83396,3091,5691,96614,45579
30364,97323,22029,49342,37835,39637,53249
58844,61748,35726,11711,32690,90864,65184
69619,76310,84432,45814,28261,53136,67815
86622,97901,64854,71299,82515,72880,47809
7321,31457,217,55938,21693,15374,70625
56225,42522,31747,40313,68528,63438,6035
86622,97901,64854,71299,29521,2627,44715
18202,97143,25818,3077,14128,14941,8057
97427,10555,92556,29045,63533,10884,19253
21166,82131,80941,40746,67958,47989,56393
88888,4437,99555,92720,71945,96015,16552
37996,26803,44602,75054,92763,18696,13279
47676,34184,32978,55135,15711,63602,48948
14854,12205,82153,46780,91749,88298,25442
83315,42235,97070,79775,49075,44813,56652
38819,71608,59149,74516,4148,61465,68871
77212,30601,29628,37829,10151,50397,69051
74745,95504,51477,66852,13111,79048,21732
31493,6636,13307,80447,61484,31971,329
28468,38475,94658,18625,84715,94215,36824
52994,66942,74396,77989,87546,52024,96937
32284,86233,58704,48881,69044,25479,77268
34220,73917,25331,45151,78073,58656,24349
39732,52365,21977,796,81558,83654,82459
69279,98725,29830,84373,95680,23139,38459
56225,42522,31747,40313,15187,88734,2677
86623,15576,78628,21654,10684,78373,33614
10378,51632,83641,15151,39637,69598,92181
13927,51174,84486,77941,11624,29952,37513
99906,6950,27248,93666,24743,99806,50717
83022,98030,10776,25005,39906,72213,81028
42670,41244,69845,18284,54422,3006,19472
3693,18619,47261,73203,60804,62457,52188
21651,92550,20269,99239,185,53826,53585
7321,31457,217,55938,8254,27771,24523
62375,32403,17272,35,38678,81270,59651
77932,10005,38786,53678,59124,92448,50311
2135,39667,70413,42409,68986,48517,42511
10503,76285,16598,65073,191,96023,21527
84003,39525,93345,71501,89688,51204,56978
20450,27340,98007,66694,85614,63632,65256
36733,73720,53861,96327,67192,45178,30406
17503,69659,69041,22420,44495,43262,42494
15689,93616,52319,11013,42015,6156,10984
58829,81520,55014,54160,59283,99778,38833
29004,81852,12177,75899,98121,82820,80923
825,94239,96513,86076,32746,10301,23566
52143,21110,4126,63571,63236,10188,3706
39732,52365,21977,796,95501,27053,56495
56204,65778,12019,58160,17955,15199,96374
71175,71166,57746,96422,30641,13118,71505
40965,1261,74570,88941,76919,17935,31967
67958,91168,13940,56624,89738,6990,90887
79613,15467,65956,85488,78501,71102,37969
71175,71166,57746,96422,57265,91948,51159
23746,41457,62809,79298,59241,41793,30016
6808,69939,83615,5841,3091,94323,16353
15594,64780,90362,46935,97735,68860,41903
8836,97617,79168,48588,79598,76405,5696
26750,4567,56143,26904,1127,10985,80287
77280,31596,39400,69531,32891,72528,55702
1175,69386,58124,46358,85553,3335,19362
32723,61853,8145,3780,11788,85786,82751
95274,24801,48424,31002,55122,40040,51897
738,85699,59140,35468,82056,81453,90512
92529,62186,13621,11171,12673,14908,88842
12505,40345,64535,82683,13585,49390,84283
20222,40767,83261,18402,71236,37432,4247
78668,57872,31843,77626,71411,74620,89454
71175,71166,57746,96422,70803,94678,69218
21546,71803,90542,3868,25382,49528,9779
20125,52879,96804,71150,20164,27947,31615
80579,9231,64895,5894,59418,62717,83909
15042,35872,72543,74139,36921,81334,63172
89172,78099,49373,30539,9962,10463,31017
70086,69056,12850,89090,13755,7347,85545
99581,81224,47418,5452,30532,30754,74614
23586,89078,74475,91492,69713,97168,84512
51289,20179,30631,43565,77646,6425,36969
89710,34754,26163,52867,57350,37103,70285
55070,11014,29374,81666,62024,84751,98546
8836,97617,79168,48588,3244,77040,89354
26513,76847,94211,78909,10346,33022,36136
40729,35951,26356,92046,75981,98675,52544
8166,95080,32406,79531,28986,4058,18962
38432,78143,36305,67223,82298,83807,98474
2127,35745,82890,45793,60652,83204,81862
47682,56962,82646,73992,51895,67019,21957
20125,52879,96804,71150,46557,87729,1046
80579,9231,64895,5894,61025,5492,48885
79983,70718,36888,41244,41328,7673,30595
8076,84365,48200,30994,34770,35643,96177
62223,39270,78987,40129,86698,22023,83770
46094,23947,76925,6633,47501,83573,47605
56520,20577,51842,75838,11501,97049,95012
9362,63870,33962,47188,68465,21343,56391
12010,8090,6263,58483,80318,14411,49728
41963,17165,99565,24019,31358,21376,82011
77280,31596,39400,69531,90384,90137,58540
72944,88922,25729,93185,19333,22910,96606
6808,69939,83615,5841,36497,20479,26192
75092,99783,90893,38220,33671,34899,79066
67958,91168,13940,56624,48251,13041,40752
63773,47714,47556,82657,58389,55882,70286
38432,78143,36305,67223,13370,15385,93517
55070,11014,29374,81666,33483,29929,8338
21546,71803,90542,3868,79550,24319,90402
82514,7307,2103,54955,26263,16048,56825
23396,2280,26014,82788,91460,41476,84240
88494,71262,98921,10008,29555,88503,13941
45413,94975,1330,549,10975,4618,48270
34877,87005,94360,68131,35276,19840,32221
29892,71430,37661,7964,57393,10760,33070
18655,76287,31038,95573,39551,59773,68876
39091,48241,84855,85593,18099,4729,20995
71445,76118,24330,88175,58140,79738,19587
69903,8354,21944,2288,91611,49341,15980
10575,86827,49060,30653,76980,39327,39623
31022,19608,22472,89654,60454,66344,54853
85259,1737,99852,62473,53423,98861,17823
93109,70160,72077,60771,1969,21013,21959
8326,15396,47741,70233,31710,30073,41869
70594,35421,69198,21776,89946,37223,72025
35272,75732,37425,29016,41564,51668,7988
70594,35421,69198,21776,60145,66154,20616
67515,41040,29341,37067,90033,56220,32331
26931,81966,72855,49567,20849,27177,43018
8326,15396,47741,70233,72794,31489,32414
18524,33710,51760,48513,83771,11873,14119
57711,89797,4988,40785,34227,37509,90823
52954,44983,31058,82966,82359,64081,17903
59154,79229,42096,87974,50745,73725,85252
81218,86926,95776,84908,99194,33684,80090
90327,55484,22654,17048,17004,99184,19322
94761,28835,17108,48423,17915,13315,45659
8107,43478,84635,14941,85119,49529,20834
72602,30550,51445,36580,3157,70470,88139
85259,1737,99852,62473,4025,51327,7236
34027,80066,21314,83083,82523,52603,40207
98566,79623,70239,31970,90526,61758,61787
98407,63141,58862,56456,31481,22655,93410
77511,76281,74750,33056,85920,11861,67950
17208,84098,6616,26223,65641,68774,85286
69871,18285,27360,89455,55806,41248,74383
34027,80066,21314,83083,54667,48906,3006
34012,99389,2100,6017,24281,39645,29193
25832,62829,99846,65299,57345,17989,62292
87742,71972,94644,68966,37124,45553,36141
80523,56594,32141,3092,5503,61319,52508
83722,53824,60783,73214,56197,87877,34797
25697,2753,83931,48862,87105,19777,31763
99999,38606,75912,96354,86543,78212,33509
68526,10354,71148,66025,77136,7072,14906
4020,60460,67539,87447,29501,40741,18497
16761,75525,29605,3310,54162,28951,54522
91050,36099,91004,21450,84972,33228,32584
35082,51900,40629,77840,79647,31803,11065
46563,90678,97403,90626,40932,52590,78976
12681,96774,52559,8961,41032,83074,25726
97469,12858,74049,23619,61242,92211,58168
12358,55925,49498,7267,59564,60981,90126
25472,24133,97785,5865,54065,55151,82841
79725,11987,32443,17526,93387,49907,6980
32118,10736,59210,98435,25951,75644,1961
80523,56594,32141,3092,76038,91805,22360
46763,79048,94511,85090,86693,46985,14459
13435,54681,22067,5969,3820,26722,1810
78953,59220,29417,27870,39807,97789,18688
40986,33565,49871,78071,97415,58971,22719
71670,9836,51192,29722,27615,72954,77884
65415,14365,92086,55548,53997,27443,13840
73041,54623,67169,33184,90275,47180,34649
55788,67270,99192,40186,66961,46627,11124
94401,2007,9231,51721,48990,60472,12729
78798,23790,83666,30160,66591,52292,72220
79328,63765,32394,30203,882,95046,4067
54389,73156,5988,22726,37812,86130,30365
92812,57407,89380,71944,83452,89646,25709
58678,92428,29149,86085,20038,86388,57506
49994,72041,19971,16900,79939,6961,10162
14355,18731,59795,69703,43568,91396,85708
5245,82038,51935,26924,73176,35046,23623
42638,15754,60811,63190,92049,37654,74055
94421,50609,45824,483,54099,24474,37332
93329,31612,22920,15613,48641,14893,80349
64287,67322,13989,68077,67578,69930,33553
27656,77741,42353,22008,48847,22943,32127
42638,15754,60811,63190,46181,73044,53332
27739,66356,90910,86826,53826,87136,58990
2992,39493,37261,43802,6688,80042,85945
65415,14365,92086,55548,1451,98203,64444
9550,11674,68230,56871,92365,70911,36392
81330,4396,30217,78284,42303,11915,39191
31614,80068,83888,12659,10634,38808,63182
40986,33565,49871,78071,89177,45076,4572
26597,1349,56341,38853,57875,17147,54172
46865,37527,36319,49678,2219,27882,61555
31614,80068,83888,12659,86265,46208,27290
62050,52932,14146,52133,60828,69334,82890
497,64615,45256,22800,80228,83926,69094
54389,73156,5988,22726,77665,17354,7034
55842,29362,39501,65557,42498,25736,91670
40590,57761,15098,58148,88878,23432,60940
83363,55628,47957,78048,102,19119,11519
9550,11674,68230,56871,13595,72483,57748
95266,16842,68121,72734,30529,15458,21479
26597,1349,56341,38853,5473,15909,31969
95266,16842,68121,72734,53926,75005,6212
69405,29973,4460,53238,86852,216,12118
2992,39493,37261,43802,33991,81402,28502
51943,98120,59482,51589,24603,92700,92923
85647,89551,49644,7251,76991,76519,39118
20364,54378,24237,43794,40584,74923,91813
68270,94403,31006,20845,39079,52339,25536
78381,86016,54577,23123,81393,89191,43572
70412,84338,36193,10799,87408,98417,5874
72005,67142,64912,42106,6763,95701,18321
25611,11495,51896,82390,79530,8349,4714
95735,92380,50993,84220,90530,84814,68467
6862,34819,20033,76067,62876,24492,72139
15757,66428,36105,29231,37623,48923,60305
23930,80412,16971,34329,30183,72927,47568
29823,42482,56451,54558,13517,23742,85180
87070,75412,34193,29165,12596,92469,67822
55632,49176,54515,76783,75920,80016,60587
16756,75523,9165,12064,27464,42763,98994
25426,82700,7969,24924,88447,76572,84984
72479,55912,55413,84190,22105,27491,50253
511,95452,51616,43184,50013,46949,26339
87767,65485,45397,44805,82155,80104,42337
25643,11622,55894,97721,76230,2550,62986
85524,60376,23578,94561,83912,65473,7150
6862,34819,20033,76067,68335,25313,70574
56796,75946,83821,68077,67578,69930,33553
15757,66428,36105,29231,92600,55676,82692
95735,92380,50993,84220,82763,27329,21272
18547,79566,70798,29765,71517,88623,9463
47715,167,54877,12596,34413,63685,38020
78374,3384,93308,44923,85480,19810,49251
61871,92578,55634,51989,63412,73745,24208
25426,82700,7969,24924,76451,95840,94651
94016,77889,26839,97827,28199,1419,10798
49111,53364,42806,11998,81927,52177,44590
72696,52260,78151,46278,10418,34208,68440
14401,33695,696,16359,27295,28479,96192
18547,79566,70798,29765,63557,90145,31251
88531,84184,30495,76788,46298,31423,5989
48509,3009,41386,65676,65701,33597,32469
96040,15823,31605,53595,63431,49167,39263
