C1,C2,C3,C0=D3,D0,D1,D2
35299,92519,51657,16441,60179,71318,3319
86096,87913,59016,64178,38294,87950,903
71927,76079,22005,87666,69326,93891,29697
45979,81110,70258,48550,64117,4721,24318
69345,54087,74736,70588,18766,53084,95567
88317,55820,95266,39388,71399,48912,38637
97286,89711,66779,67359,38675,89278,77988
46823,21404,77064,48659,49694,86968,24851
46823,21404,77064,48659,6722,19115,68971
48206,98008,153,5445,45099,94126,30882
99037,27584,41133,49675,5585,16188,64315
25564,86482,77350,42242,77081,51778,61304
73991,21139,6165,95115,45016,24838,11808
11950,75064,56556,20863,14754,93884,35977
25586,45944,79454,34565,13431,79416,98217
61167,14156,27840,83092,98980,78121,20563
66625,40644,56279,10816,48518,62008,59374
53521,59650,33320,5050,62148,10217,49519
96593,48633,15499,81918,90669,77993,48754
46159,40916,24862,39230,85760,39891,91756
83850,84688,95628,80252,30989,76404,6351
40358,11410,68638,59109,94730,31112,41905
89868,87842,27506,72828,65539,68415,65806
1630,41704,65331,5524,68232,41656,28129
50694,23733,57316,85547,91699,33893,42399
46159,40916,24862,39230,38457,4623,76889
62836,63385,48915,78295,47242,61461,54746
28602,81831,80646,38737,96362,56622,73871
89422,5439,90726,420,86752,87184,67644
14103,36181,90171,29540,78507,21070,12720
88791,22506,38398,86094,24730,67784,61557
76523,82869,65478,33637,76602,54720,73658
74375,33106,19155,42228,15334,3732,45329
78363,5828,63255,23810,69759,60751,6772
3779,40115,23431,57871,47795,55968,47108
48206,98008,153,5445,90846,76213,19460
17656,50753,81797,17335,27103,98717,10888
84992,29755,72772,84112,61069,34014,96090
71536,97518,47167,85995,13289,18711,17568
65588,31964,76379,77858,51008,84230,31021
29173,54774,62073,6439,37197,23237,83538
97567,74092,60837,19660,40240,62596,42544
72625,78456,12267,48591,12883,3439,76402
72625,78456,12267,48591,74189,39283,86196
73797,4061,8690,62623,87370,83317,80499
17474,21543,86453,83788,84102,87706,23882
84992,29755,72772,84112,2579,20582,77880
225,46727,93953,92018,56262,77348,67460
36474,35018,88667,18338,99417,84982,79040
30299,19997,43908,4607,55994,44060,7713
74375,33106,19155,42228,19165,72333,9871
8363,29918,59484,42566,38009,81165,7653
12719,50634,17406,38344,79475,43154,5787
41876,13695,46157,22158,45686,78713,88927
46248,63798,13605,13808,78096,90819,2617
56802,79691,6303,34146,97289,13221,65553
77927,75457,50155,36598,18028,57972,61413
27136,92739,39561,47790,119,75532,7816
9144,28886,85262,32014,18065,57425,66454
4733,51042,38498,81990,38900,69936,14801
37705,5660,31703,99530,87360,80113,80256
6926,61904,50231,97943,46132,33889,25747
11427,25761,56672,81411,73925,36147,83733
66083,39777,81357,68706,34098,62337,75568
62769,13695,57645,27197,25622,78369,4077
18739,44671,70,18600,92579,82652,54196
75141,23023,9154,93216,68589,47345,39563
9144,28886,85262,32014,75535,63398,66955
99300,72038,18507,96488,62141,59542,7843
53915,86212,68921,14375,59514,41895,73046
6632,25067,32088,27639,66594,44196,28836
99300,72038,18507,96488,65401,59980,55440
62769,13695,57645,27197,41294,67272,39651
86835,14886,31137,92988,7728,69146,8663
22414,22034,75945,43415,31918,13650,38147
71952,60038,52218,18683,99870,96386,66881
43185,14942,77873,49477,1699,74847,72285
56363,68492,35124,22788,44324,80004,46134
81270,44743,82662,89592,37312,34909,59931
59555,55129,21858,18698,38945,36905,42208
47501,39642,17596,28173,68299,11730,62712
43185,14942,77873,49477,78585,28075,70711
76943,14498,9957,14747,86527,49822,75311
6516,30299,97074,89990,79635,45944,62953
63816,4728,60585,17789,11411,66833,21611
4697,58708,12397,31160,28200,6946,2694
70824,89213,44966,15568,21222,30340,82498
32521,7289,92119,94224,55479,66909,92611
93068,63482,76563,91787,71914,47416,18057
52169,87337,16882,56850,56730,2748,37268
38019,17963,61538,28746,34885,50272,86790
20971,64924,96493,59323,45666,77409,7357
2157,7625,3480,37950,94604,46449,4910
72670,2469,21508,77242,15415,19121,92025
87419,44192,92687,73795,32724,81650,49836
14565,21524,33460,85620,62487,68524,29285
38019,17963,61538,28746,33845,75259,99900
56386,56999,5290,11381,82163,23875,48965
88899,48986,62463,68269,24659,74252,26673
49195,94995,82591,55110,79399,28555,10671
6246,70794,40695,27203,28589,44279,91431
18903,42286,58325,15470,16894,93850,1169
35507,31402,72337,75553,22448,25785,20664
91979,18525,68283,93634,67407,16377,80311
15235,85232,7064,21152,11607,64315,16387
47853,28149,43704,58524,59552,29974,59298
62389,23772,25678,51182,36880,17247,75533
84370,77241,96065,13909,94387,75,30683
75568,12584,88385,79628,30698,43054,72072
7871,68050,38549,8790,92029,58629,367
4467,491,17817,71673,26190,48226,55238
32427,32671,24605,84512,86097,30852,620
43694,91664,23377,41088,99089,83927,23530
20461,68041,88353,9116,4122,39008,4991
91430,50506,61395,36191,52149,4795,8091
49416,38497,61973,53412,3350,49337,98735
38189,97429,23492,48123,35410,54593,98205
6246,70794,40695,27203,64981,54318,13473
13588,64843,79570,9172,2386,75133,32215
6459,25826,41532,95231,26265,82000,96512
46904,52273,53601,76026,76463,55673,87571
59560,51796,99678,44256,76242,90573,94620
47289,80800,49623,31384,71006,55980,750
91979,18525,68283,93634,21655,76502,67188
84737,75128,25591,74846,73627,37806,13942
56168,62864,97869,72503,96375,74817,23280
47408,29760,42729,25646,55035,69389,47590
81619,62669,34036,54112,18591,8440,86989
21398,10500,91752,21474,89118,1237,63324
75568,12584,88385,79628,85199,54967,98770
93410,73405,74961,1476,53905,56293,52859
12205,48003,68543,42866,14201,39809,94444
78976,64927,16,17428,26410,22169,99201
50148,12408,54185,39713,11759,80081,41313
49416,38497,61973,53412,23757,21759,36536
12476,3755,71412,64909,21750,40653,44247
50148,12408,54185,39713,60727,35386,74912
11059,83255,52097,5821,17196,6991,88365
4705,84632,96737,79091,61335,83882,27564
50193,95542,31506,61897,17206,76114,73234
91430,50506,61395,36191,76491,95001,79512
90870,21552,41352,34543,35621,94485,83315
13588,64843,79570,9172,3606,49275,95347
18481,4647,3308,97185,18699,53915,16917
73980,74822,35531,83408,16646,52941,97027
75707,56911,25553,43028,87158,77372,75048
77215,22327,81243,70849,86182,62152,56131
78976,64927,16,17428,74370,27945,94695
95763,64168,19912,76254,72040,90253,32128
80087,56134,61640,98621,68645,52813,54009
7535,2588,47673,53274,65667,38549,9047
96199,22116,18837,39211,17152,17450,23275
45340,37359,58457,15568,21222,30340,82498
23105,90471,5951,76768,66959,29112,19905
75365,16358,32435,95392,15093,11868,7344
23967,69369,94831,41129,43271,25190,88858
39544,74369,49569,45302,94125,36925,21200
43694,91664,23377,41088,52446,29528,47524
25291,10282,30722,29314,1328,38280,52717
47289,80800,49623,31384,81489,81060,84468
64701,56566,60086,41097,28219,88099,44460
91336,88876,87720,56916,16975,99946,77567
46436,23041,94102,38742,81301,31329,42612
3725,10660,15284,56144,31648,37335,45057
7222,22973,96957,57074,12586,81051,47632
75803,35461,12202,55726,63597,63135,60017
38189,97429,23492,48123,26587,40498,7232
80087,56134,61640,98621,45953,8169,43237
15678,46698,5510,82340,60194,60779,6048
39561,67293,77304,99253,57012,53224,99951
51451,7229,90196,56138,82901,29772,84836
37357,68735,48562,89997,25186,8559,85167
42346,61736,6967,8919,95061,38793,12118
75149,55135,39129,67649,32079,17144,83535
92974,19468,25118,46280,73827,90126,45900
46405,74479,22900,18272,22482,71478,51010
2977,2846,97550,98157,97945,85429,7270
43786,48158,44001,72114,57562,52138,27551
82170,26606,9487,90266,50108,61228,72304
38787,25974,30538,78581,91350,66772,98351
21469,5739,94122,52953,79007,93589,12520
35766,25007,77285,98545,59759,72533,15407
85391,64770,15792,63895,23425,7277,48563
2460,79117,90821,69230,62858,89131,30175
96773,56003,75170,57840,84818,18369,84883
55750,14278,89806,30065,69694,70542,47798
22173,66082,72798,95148,4837,15929,18084
97438,30630,14200,21389,63154,1688,8427
83293,1702,26779,35120,33316,42602,80676
99681,75797,23741,44891,17645,25568,73300
63271,19170,76917,89703,24478,95124,61719
94101,93096,31045,82683,13585,49390,84283
22173,66082,72798,95148,18765,76880,75117
88826,34152,6438,64359,95124,92249,30406
82133,70777,28705,56809,4610,87509,94933
65222,54156,57300,33240,68377,1024,26300
11486,61711,585,51569,94852,76676,56650
22468,34539,12448,36762,70215,80912,59454
22468,34539,12448,36762,77159,80339,84944
54576,62818,76299,75774,51245,76034,13010
85391,64770,15792,63895,98437,89003,84412
54096,84902,58964,89627,14250,44766,56723
31024,78829,95098,21858,67375,58215,51116
28792,21153,52490,92992,93311,19839,72068
70468,8748,3285,4382,4210,64649,78013
86570,52289,22307,44993,95356,57926,36423
26663,38451,72403,31221,11262,74959,58826
90435,36741,76630,62505,60209,28192,51996
59543,30251,28566,35245,64941,79837,30048
82431,95007,70491,19183,96113,42288,52431
14144,46805,7548,89206,46669,11168,80646
19677,34331,30064,92869,61003,82680,59318
62566,99526,13471,78801,73358,66763,16038
68124,52624,45527,41396,41195,81359,71144
70468,8748,3285,4382,15956,86610,34121
57282,63676,25571,74585,64130,16306,95740
78035,56108,19853,18234,32364,78489,52701
80739,45819,60671,68604,35736,96024,14441
23883,97434,17411,76689,76904,9019,70598
61153,36173,9967,13613,86907,73274,37579
76291,17007,182,9283,35546,11511,16740
82133,70777,28705,56809,40353,51054,96600
81837,86098,77752,42270,27260,42519,69841
33053,3595,9397,99836,99395,74056,3909
68124,52624,45527,41396,28994,6420,24626
86573,42730,24410,35575,48226,15898,38444
62476,39993,24587,14124,99154,91431,89288
45867,13064,12692,84990,76471,402,40439
11486,61711,585,51569,37749,12223,81642
33185,55710,57168,1091,93702,83870,69713
55750,14278,89806,30065,20606,45006,89667
44061,78977,62679,87999,28946,49612,50278
35214,49114,75089,53558,9459,76084,35708
33053,3595,9397,99836,94267,53084,57920
97530,1205,23212,72160,53562,56305,94677
68124,52624,45527,41396,44876,20922,3396
39510,48961,34492,11323,201,1925,60199
64247,48755,14990,83979,86900,78758,35269
90725,37203,24479,97811,38847,50796,68425
19787,52383,90711,47746,44580,6293,17014
61310,53966,74188,97155,99159,17643,57194
87449,63437,90742,1381,91874,45138,32566
46779,48289,60813,52415,74625,8352,60182
38442,77512,38345,55380,10377,52661,41064
98762,59490,67894,59761,1248,97503,45251
46779,48289,60813,52415,26766,62798,67096
39401,14704,16256,12341,47807,92896,90380
47165,72920,65150,86895,1020,89946,88513
63610,31216,38232,77963,30971,60925,68652
22278,81536,95828,51401,62520,51226,10330
186,49088,70914,55465,6134,37425,15018
80350,34571,74288,56771,15102,38367,14206
72826,24267,15671,97029,22780,54278,17717
12122,86757,48854,23664,36032,68049,70278
5542,49670,81910,28769,68862,86258,14096
4824,58420,75344,55512,44251,78348,80783
19787,52383,90711,47746,9505,99382,92871
98066,30018,39036,84330,91799,26649,93399
18968,96847,30043,5830,64519,52826,98931
59682,69916,41573,83844,2942,6809,82645
59682,69916,41573,83844,71022,49879,95966
56694,49392,56798,73673,2967,5344,83383
2830,57148,57574,98993,93619,80287,66652
21928,90839,72356,1240,54215,94384,83910
2830,57148,57574,98993,36991,70030,9796
28490,97655,50718,98385,45670,57554,88652
33815,90362,82342,92237,47018,94094,27139
23965,53071,82271,38976,7489,81265,47753
12122,86757,48854,23664,51069,85494,34582
53014,37229,6439,14207,74660,46924,303
66782,6075,32801,28359,37603,42869,33819
81358,98638,79244,31390,91775,77931,59695
97167,62106,64022,13659,7775,1813,14927
34450,64434,86173,95025,4722,84724,78919
33133,61161,37312,12209,59498,4290,78085
1395,61347,55178,48516,83431,79645,21367
20256,57787,22756,24770,83540,76740,79777
47165,72920,65150,86895,24135,68726,43067
80482,44725,31149,34587,72867,27471,31594
5402,6511,78990,12577,48958,69068,16387
59800,53214,39983,80156,80100,90583,67567
33219,16109,90201,64344,36326,82635,28090
90725,37203,24479,97811,78355,86340,43925
60288,13029,14911,79624,37134,30433,11220
41540,62365,48188,70038,74194,54573,41818
86605,70358,4047,52886,49754,59343,5832
42155,32796,74584,34085,8427,86097,53355
40073,13783,36195,46528,54131,74892,13177
49791,97007,94610,36714,71430,65484,92405
13772,22487,5988,3604,51589,39659,78831
56294,88422,92772,23822,8303,68485,24842
10902,83808,73585,47935,84148,92836,38752
60481,17469,16488,36986,22656,49462,88733
82494,18170,98077,70903,80581,66852,145
91251,13796,64782,55511,62977,74408,56506
58182,26199,75212,2567,54548,19544,17217
83591,27082,67595,71013,1122,347,78819
33219,16109,90201,64344,10586,55795,80512
55527,34382,10546,49757,59087,77594,85799
20256,57787,22756,24770,18557,26066,29171
53811,5082,68130,40254,54736,2799,23786
46644,92440,37291,99694,52245,85412,23531
76170,23947,95962,64348,35006,91067,77312
84871,92847,61326,85639,88193,93376,68679
68485,13074,47406,21121,78210,16498,77886
82494,18170,98077,70903,12869,71730,15728
83591,27082,67595,71013,31644,33665,25530
61310,53966,74188,97155,45456,12113,93771
42155,32796,74584,34085,16881,33527,89036
8961,60018,70714,87406,3327,98637,96128
98066,30018,39036,84330,72266,91352,89862
96149,69150,90372,19977,27416,72396,4433
57422,20982,70053,33973,82052,55890,26291
57422,20982,70053,33973,89256,39866,92798
34552,70177,51290,8096,69636,28635,1379
23742,58202,4823,16435,65742,16365,73896
869,45801,24376,96440,50270,84158,23356
60768,3058,73312,8558,59127,21797,8732
18472,35698,31291,23141,90297,88889,21833
24542,53952,34733,61074,69259,4532,20747
99605,23601,65524,56398,73786,57079,39739
21552,72734,33544,42900,47233,19091,35685
18550,88308,49463,48201,90718,62866,78778
85953,59496,90709,23664,36032,68049,70278
6005,10986,72582,22205,27578,15363,55946
77461,85532,632,49406,59968,41658,15566
85257,37820,79170,31795,17908,38943,70225
96500,96176,11274,41088,99089,83927,23530
18550,88308,49463,48201,37973,46329,74939
66461,67911,380,37084,92028,61970,96820
33302,20402,86307,7162,36865,3175,57756
92395,41259,11332,75822,32531,23474,11888
68657,99679,47372,90259,13712,53253,7445
67248,21997,86240,55694,73243,4699,77274
79075,61347,72826,45534,59331,63024,54439
33302,20402,86307,7162,26467,14998,90933
27287,66990,17306,69292,4405,81617,74235
71802,36420,71967,14638,45686,95967,4907
54899,70648,93857,30539,9962,10463,31017
18740,31329,58436,87622,63781,90158,16182
92395,41259,11332,75822,16731,95938,91633
89729,60276,90597,12174,35918,13965,98537
92395,41259,11332,75822,14981,64385,24538
51155,70810,8143,73153,48460,47537,22397
45938,74018,76145,75229,11292,71847,93315
57422,20982,70053,33973,6205,62817,53288
90689,15921,63664,81512,76482,68888,40544
55295,39164,51227,79135,42846,6635,7157
85953,59496,90709,23664,51069,85494,34582
85744,17260,83451,69566,7156,87315,36056
86835,36604,53803,61733,69233,42832,13762
34176,84964,37621,2050,66406,11849,4335
54605,64641,89002,87614,1623,77977,73451
15886,99242,23296,85960,88127,35471,58051
23448,524,67606,83733,5434,72307,27898
22196,77301,21908,99609,34412,59057,36996
96749,94862,70698,93483,96746,64899,57847
63539,22784,56915,25544,71514,51120,46276
79763,37065,29158,29353,84877,88626,31229
52932,74566,31350,12107,34649,8369,22945
27276,69562,34415,54534,41508,85772,64565
96749,94862,70698,93483,83991,36900,34017
95892,92660,73535,52262,88998,21604,66165
96500,96176,11274,41088,52446,29528,47524
13582,25628,45686,8056,80740,26339,18528
15886,99242,23296,85960,17813,29528,47732
60046,54516,11686,82058,33496,21060,89818
33302,20402,86307,7162,66969,1790,60415
63785,60426,3643,19804,89696,90910,4511
59677,59027,34084,4579,79526,59867,54670
89269,76402,88884,96007,81860,38744,41035
93049,23943,10518,76219,27725,97626,70969
78855,82745,93050,28897,88467,76210,14879
47117,23233,40651,56094,15454,21557,1306
12634,52892,27777,85117,99930,70579,46468
62966,49647,63017,59200,44845,90076,99567
21076,82018,9815,53348,69958,27487,75189
74508,99362,93784,93601,13659,47757,8878
44485,31381,48237,94991,44879,1969,83187
91465,90536,38802,45838,17575,51317,42595
43946,23580,60090,13685,37952,51800,11610
41839,32086,39817,48336,29877,13058,58830
1072,22321,63768,25330,69893,60369,53159
78258,1901,80644,97553,60411,34283,70668
78258,1901,80644,97553,70158,67097,78422
50312,90845,23396,40436,30047,22033,46859
90436,57720,12200,62970,88201,35565,72708
8202,50686,20622,14879,72079,2799,45538
87808,15641,42233,16635,16662,12573,98996
66083,29898,53568,42384,65331,28451,86687
46968,27370,70746,90588,85941,23510,20261
2567,69044,74243,42610,1557,8432,21955
53565,21865,97431,68657,74019,80500,1347
62659,55850,65403,19518,41241,29553,84403
5371,12330,90901,79827,33344,73253,83694
21076,82018,9815,53348,37856,47341,14135
43341,19373,80179,73598,25714,22001,15381
87808,15641,42233,16635,24178,77431,5525
14006,16163,45319,94118,14426,97885,1710
40574,16775,45140,20454,79380,23376,43793
98473,93622,29422,85701,9762,77986,31433
57297,7508,90058,19921,69975,3276,3881
45744,61425,23330,31415,67567,21609,45427
64552,36430,20836,62893,86520,69496,95377
90436,57720,12200,62970,62597,74056,63947
30579,77685,75304,11748,76331,71163,72251
86984,76065,97310,81951,17857,16373,82449
78855,82745,93050,28897,46452,98307,84226
18748,71416,93659,92504,72616,87354,99347
84536,4292,81038,91123,22968,58956,37546
32333,95506,49074,42023,89794,27595,82680
23947,86452,40442,58668,93294,20313,63514
38814,68952,17668,47138,59031,35241,39430
26353,26461,12765,13365,98714,38013,60511
12553,43662,71440,25453,85669,94621,97564
83812,61875,3642,50289,21300,62939,45502
82526,40871,60069,41297,50985,10350,41510
96999,23165,82595,41384,88494,29097,79236
66083,29898,53568,42384,18012,7879,26125
75945,35524,3919,85306,86318,3783,41408
74513,46496,58915,51665,81890,21612,56047
70240,31113,67699,24523,80917,11806,31054
41947,92892,80510,31972,39737,65560,17172
32333,95506,49074,42023,27881,95755,62935
13097,86039,6503,86472,36511,83665,54342
31497,60628,41781,70583,23878,10830,26747
91895,97723,23095,94698,55367,94695,66318
45463,5975,9992,48064,32009,51287,85180
8202,50686,20622,14879,18201,57514,2298
86172,31101,62856,75993,26574,94976,56412
99013,56147,31024,92976,3367,66745,87820
84095,60843,93011,53640,62519,23032,14944
41032,72363,76061,6841,76446,92741,4565
23947,86452,40442,58668,92915,56029,40218
14326,10902,62261,81681,71035,21852,36909
98329,2463,88406,18338,99417,84982,79040
38537,37580,53394,82576,31610,36172,85214
74769,40639,92937,79513,57647,92108,93256
42775,47938,76712,35569,8581,4738,78744
31794,98152,45130,87532,4844,15686,35305
53263,48439,49045,1381,91874,45138,32566
93307,52471,42906,47760,6076,92265,34386
414,42354,61480,50087,36026,93916,10047
64373,52907,85126,1722,1155,85754,34861
56591,99166,72879,98840,15081,71235,81125
66738,82562,15075,12360,23170,62069,8396
93746,80711,57398,66731,78891,54259,90291
10707,37774,96687,22737,6702,42639,61365
61435,45014,41506,70025,15129,15727,97785
66738,82562,15075,12360,43216,10051,66563
19365,50082,25839,82184,85610,13681,55973
51748,27042,1840,81081,9781,22255,97642
43438,56023,65023,27942,83892,97575,97153
82028,8662,44117,50530,60447,70807,41512
6537,54965,50309,77930,53306,74915,88499
11815,98092,18319,40220,21072,55391,28499
27017,16049,71857,861,32602,46457,16611
4322,59343,56912,91521,47352,87348,4206
2487,72670,50209,64834,356,3193,19327
2262,39495,92521,5853,48880,38810,99323
70552,11137,18324,66249,13990,51888,45946
99236,62211,36524,81532,97885,99960,38900
19894,38110,70850,64986,94210,38182,65008
61600,65823,82214,18425,40737,29450,36441
414,42354,61480,50087,87486,48143,99946
35782,4322,13613,72584,90202,49649,96051
46530,13616,27395,26626,16537,70161,2746
76622,18256,15549,71676,4925,85265,77301
92392,24959,37642,72001,75569,73511,56042
36080,91547,20005,33874,488,9476,59122
62126,18555,80726,50584,70226,98025,67380
75326,24638,39735,60848,4207,42615,45545
96790,16932,63914,13357,94048,65820,70610
26201,22391,9767,33285,5879,76507,73958
72007,83122,16584,48612,3126,3711,87955
378,92469,64251,184,36929,84423,9285
92143,76666,52357,33866,67578,30253,44874
12997,50421,12293,73604,30475,2733,88811
29530,99775,10579,77272,76353,77193,57627
52527,53783,21178,80415,54888,77350,98259
91706,49799,3731,99817,2058,97423,86754
63383,51096,50047,65959,82748,58639,95621
30662,37511,48259,59923,7118,54547,10344
70867,19741,71975,3179,79174,43492,71244
30662,37511,48259,59923,42574,71212,12316
39283,89491,12486,45664,23866,43964,31966
48724,83004,33614,72554,26661,74047,3292
56255,9724,68584,99661,59425,22169,7316
61117,55925,83545,21687,84583,72140,86761
95259,55694,88674,37997,30778,67436,88682
8000,8898,53574,76788,46298,31423,5989
64832,61268,94327,86691,38009,76058,24851
61600,65823,82214,18425,96527,66283,64915
33634,26083,81780,24238,34663,33199,69384
34738,14783,35741,36358,19212,10096,35989
10526,30523,90817,89393,76900,17438,16821
64832,61268,94327,86691,48821,97039,56660
32079,10204,59393,56987,68838,73476,32698
37711,63626,17904,40115,89741,97907,46164
24482,45686,51697,74305,71786,69690,1586
37711,63626,17904,40115,5850,11286,92427
59219,26528,37857,94365,39730,13839,68736
68246,59253,11602,48077,83126,80854,24902
33932,52174,21625,51352,85981,97869,12607
92392,24959,37642,72001,43068,43307,33891
8000,8898,53574,76788,39106,869,43554
39215,24628,13738,18209,90450,99920,14406
8711,14198,70650,49027,48651,23140,30401
58283,10470,35871,4042,59555,40071,68541
31969,46868,27298,26254,7500,17035,79675
85568,60796,35456,98359,31993,99606,13175
19054,7299,41511,21917,869,39736,19883
56914,60095,11022,45360,10403,4157,91604
83029,14001,90746,40186,66961,46627,11124
67595,26214,5400,63593,5222,70083,99553
63458,16943,22469,69040,4337,22158,99773
27046,13431,46311,61019,46413,97633,96813
19469,65578,57508,60965,41192,30335,9718
60932,36658,52954,64664,32050,50668,47059
8837,18914,60754,62966,60470,75723,56631
97931,76845,4596,7037,83693,89841,693
18861,94095,58001,23003,89395,40700,3832
16587,8450,934,47591,81083,66154,13658
43851,33853,37338,55006,28344,31206,41777
5455,69475,22273,60383,55271,37204,96544
16551,66750,3660,54695,20115,11377,85412
18445,96263,27642,82683,13585,49390,84283
95935,58453,70680,2040,68772,88989,21668
17388,83113,66156,16563,6752,51896,63957
95959,83447,3316,65112,7202,11952,64076
56923,45967,79774,98106,93408,12400,66377
71776,22506,45135,66728,68268,82766,86598
28232,60838,83883,51879,68104,666,73850
135,16937,2020,11178,47774,97491,4899
23750,98444,40705,94311,85652,12730,18170
81348,7114,57927,23370,35429,71717,91693
99974,57967,70576,53358,92039,69287,16796
16551,66750,3660,54695,77817,3224,24313
97036,71955,88197,90881,77665,21491,10591
76642,1302,7233,98873,17668,36065,30866
55052,74193,53582,35472,37475,62457,91939
11834,79499,86250,26221,59441,36269,51185
55052,74193,53582,35472,90587,44763,75148
63458,16943,22469,69040,39534,29023,3040
77397,23578,72717,27536,55794,59928,54014
25819,32482,87539,79631,15476,76579,54908
36376,31528,86214,58188,30329,60165,20813
11688,33685,47205,9865,92386,40502,11757
83643,76721,89626,76109,4989,15727,86627
55393,95806,64025,53868,38863,88766,19225
33483,28561,43547,24349,80176,3150,50824
12168,76664,24663,86517,40785,48554,63814
39437,14317,38723,41684,11172,42548,3671
39645,97512,37392,63283,44733,19004,45706
81370,72867,19565,32717,42655,395,89390
27743,90188,3430,72033,55555,12443,51131
72540,29203,44452,78665,41341,11891,91710
40178,2633,8377,79109,54478,33602,27628
34333,90478,30657,68942,59239,92138,82688
17975,9875,48672,99066,14455,6473,87120
68703,99639,82568,83221,42372,96115,81821
25819,32482,87539,79631,48692,86385,98858
81370,72867,19565,32717,89021,44906,86970
7318,54491,68411,45396,41603,66379,26570
72540,29203,44452,78665,81342,11871,49273
68703,99639,82568,83221,62572,59636,69680
16587,8450,934,47591,85322,27958,27948
68366,4769,34734,79128,56921,57973,85344
74157,71718,41627,13988,30154,81806,81557
55052,74193,53582,35472,79911,73767,55555
19469,65578,57508,60965,80195,97254,20001
56923,45967,79774,98106,94204,40447,10676
4712,72668,60483,30486,77452,71803,78879
51206,42411,92480,71312,30718,27378,54834
56914,60095,11022,45360,87891,23392,47899
74387,70031,36622,32953,75494,58706,30268
23476,33474,78544,5372,44021,51513,30672
15051,20081,59654,44462,77271,2240,88975
55277,68323,86113,39091,39231,87685,68325
41662,15327,99680,77143,19498,32711,94072
42274,69913,81544,75336,22081,44193,28548
87754,93639,97159,46136,42561,35797,42985
94583,39193,40274,36784,96222,39847,30334
686,20239,83150,88501,40776,86006,21319
44520,80122,76257,28385,45266,91671,19890
66173,64563,47412,6262,42107,6551,61454
57570,130,31118,65243,53393,19377,46318
49714,91282,9004,78848,89106,70426,18702
41632,32230,52340,58009,69947,13049,3950
41260,77841,1284,88580,84374,35195,35797
63625,22459,37631,28673,18833,37344,41775
53811,77898,89711,20404,40452,46681,3399
8527,6372,65246,31381,12116,96018,88974
41662,15327,99680,77143,5191,23968,52039
59540,25938,46368,57840,84818,18369,84883
76391,49578,19919,90236,59240,8494,83207
11034,86597,88651,57327,69692,71506,84458
92710,25809,79386,87201,23690,3291,83665
79819,12630,44965,15764,1278,58702,4643
5951,82170,51711,43471,24841,76352,46574
66534,8062,13717,24979,70632,31420,3861
58149,34190,12304,13415,99642,15872,86254
66534,8062,13717,24979,11882,16025,63120
4115,83107,67199,50484,27166,27033,7988
2205,26345,79673,44416,87043,55517,86971
17265,10301,63670,85364,92861,92931,92376
15051,20081,59654,44462,45235,71081,62339
28634,20868,71560,54816,50987,27117,48817
85699,43916,69551,89764,59110,5989,61739
85397,52724,12818,4474,25590,27719,56498
1058,81525,46591,34052,40831,81881,63668
20998,50375,18854,85332,17467,22196,39236
43971,55204,34129,58526,13921,26886,86347
67398,73763,6804,60124,36276,33543,41958
94509,46018,76733,424,94505,78769,86543
93669,40335,9042,86131,69919,7193,86701
89288,91013,56951,4682,91371,58457,26508
93289,9939,25641,36360,49175,75424,66195
96763,12081,19758,96295,65666,81300,77928
79819,12630,44965,15764,61897,11029,58441
54557,7302,49760,68367,96860,8936,45285
75687,81,23097,35425,47964,51898,11346
79542,16746,24355,58316,35590,26062,319
63329,7124,92429,93567,1434,5425,42872
83214,61923,56113,8062,428,21474,64626
76477,29926,96565,79038,64692,50298,74177
66534,8062,13717,24979,79387,20850,81590
87300,87874,13207,87494,5896,82433,1662
8530,47706,61068,83901,72885,40358,33008
34994,86238,49436,69745,64968,53647,78255
12588,93878,81985,11280,64700,2398,67411
7676,39507,32069,75360,68618,8711,74090
50857,94302,69014,6603,242,97779,41026
11515,70028,24154,29370,5374,12650,69545
61979,51248,26119,93765,86927,89432,60034
22971,42461,3959,51613,81464,88123,57499
99442,33313,94246,78430,217,90848,57090
58061,58730,80998,94260,97266,14198,68041
5312,62917,84108,52382,53511,34447,47303
98982,61784,94552,23203,84508,58680,44332
19668,9798,8,70058,63241,51729,56432
29183,23292,92612,83910,70882,84606,83786
96164,64213,15515,51401,62520,51226,10330
93048,74841,9123,42900,47233,19091,35685
26093,50288,88409,91916,77981,10447,56742
28919,4692,92924,36588,16787,72186,74993
93206,17593,25523,44719,68162,49505,25295
88118,15153,78078,24971,93963,57242,19769
61056,18118,82007,27301,40607,84752,23355
32109,88249,6121,32521,64403,17244,46034
10111,98575,6301,98779,68914,94786,6771
23941,86648,64500,82437,65205,94973,71118
3763,33870,42083,10738,94711,78911,10735
60126,36143,72689,64649,15673,67053,24897
67546,6260,49370,16213,93,38529,54319
79392,1784,43820,24562,3076,95741,95688
91278,32765,22097,72913,26140,9933,93832
86917,33069,23001,62089,2321,14349,8634
74799,94759,34211,52947,55285,4214,63488
50668,59969,3915,31177,57466,64456,16278
42464,68665,60694,42580,67933,83305,25224
30664,31044,57143,36639,22365,29273,21076
61979,51248,26119,93765,23418,34100,22741
91582,49561,68749,49477,1699,74847,72285
14238,63839,73803,11130,41882,86702,48459
33623,30854,60010,61531,76134,81813,90424
79392,1784,43820,24562,77980,7107,70475
54186,5967,35755,53561,5435,51388,75019
